id,date,idate,user,text,hashtag,photo,url
532684253553623041,Wed Nov 12 18:59:57 EST 2014,1415836797000,itmovierank,Australia 12. The Calling - Jason Stone #Movies #iTunes #iPhone #Apple,Movies|iTunes|iPhone|Apple,,http://t.co/PlmYjJGQCA
532684218887704577,Wed Nov 12 18:59:49 EST 2014,1415836789000,itmacapprank,Japan Free 83. iMage Tools - MOKA Code #Mac #iTunes #Apps #Apple,Mac|iTunes|Apps|Apple,,http://t.co/arFSEo0GuB
532684184238583808,Wed Nov 12 18:59:40 EST 2014,1415836780000,itpcastrank,Australia 32. The Science Show - Full program podcast - ABC Radio National #Podcast #iTunes #iPhone #Apple,Podcast|iTunes|iPhone|Apple,,http://t.co/uKJ0QSxzbV
532684117352001536,Wed Nov 12 18:59:25 EST 2014,1415836765000,itmacapprank,Australia Free 22. Full Deck Solitaire - GRL Games #Mac #iTunes #Apps #Apple,Mac|iTunes|Apps|Apple,,http://t.co/MsgJ3sBDqA
532684098976743424,Wed Nov 12 18:59:20 EST 2014,1415836760000,itabrank,Australia 3. The Power of Now (Unabridged) - Eckhart Tolle #AudioBooks #iTunes #iPhone #Apple,AudioBooks|iTunes|iPhone|Apple,,http://t.co/dCvSMfT2PH
532684093205774336,Wed Nov 12 18:59:19 EST 2014,1415836759000,iturank,Japan Courses 43. First Grade - Cupertino Union Elementary School District #iTunesU #iTunes #iPhone #Apple #Mac,iTunesU|iTunes|iPhone|Apple|Mac,,http://t.co/C0GxdQ7Byu
532684063186759680,Wed Nov 12 18:59:12 EST 2014,1415836752000,itmvideorank,Japan 44. THIS IS LOVE (Stage Version) - SUPER JUNIOR #Music #Video #iTunes #iPhone #Apple #Mac,Music|Video|iTunes|iPhone|Apple|Mac,,http://t.co/EL3Ba08xU6
532683929988263936,Wed Nov 12 18:58:40 EST 2014,1415836720000,itpcastrank,Australia 33. Health Report - Full program podcast - ABC Radio National #Podcast #iTunes #iPhone #Apple,Podcast|iTunes|iPhone|Apple,,http://t.co/cnJtND2DeP
532683921876463616,Wed Nov 12 18:58:38 EST 2014,1415836718000,apprankjp,Japan Paid 43. Goat Simulator - Coffee Stain Studios #iTunes #iPhone #Apps #Apple,iTunes|iPhone|Apps|Apple,,http://t.co/ta1VipbEml
532683863298826240,Wed Nov 12 18:58:24 EST 2014,1415836704000,itmacapprank,Australia Free 23. Touchgrind BMX - Illusion Labs #Mac #iTunes #Apps #Apple,Mac|iTunes|Apps|Apple,,http://t.co/jAN5CkJL41
532683844822904833,Wed Nov 12 18:58:20 EST 2014,1415836700000,itabrank,Australia 4. Awaken the Giant Within (Abridged Nonfiction) - Anthony Robbins #AudioBooks #iTunes #iPhone #Apple,AudioBooks|iTunes|iPhone|Apple,,http://t.co/CJvuX2AaMt
532683782239703040,Wed Nov 12 18:58:05 EST 2014,1415836685000,iturank,Australia Collections 86. PSYC 213: Abnormal Psychology - db - David R Bailey #iTunesU #iTunes #iPhone #Apple #Mac,iTunesU|iTunes|iPhone|Apple|Mac,,http://t.co/tzX2o7a5x4
532683747821248512,Wed Nov 12 18:57:56 EST 2014,1415836676000,JumiaBlog,YouTube announces  YouTube Music Key  subscription service for $7.99 a month:  YouTube has annou... #Jumia #Apple,Jumia|Apple,,http://t.co/WUsdKibkAK
532683727390769152,Wed Nov 12 18:57:52 EST 2014,1415836672000,SIMMETHOD,#Apple road map to 2015 Best in Class performance #competitiveintelligence  #telecom  #cloud ,Apple|competitiveintelligence|telecom|cloud,http://pbs.twimg.com/media/B2R5Bt7CYAAezrh.jpg,http://t.co/E2YMTkiRI0
532683710651330560,Wed Nov 12 18:57:48 EST 2014,1415836668000,itmacapprank,Japan Free 85. ATOK Pad - JUSTSYSTEMS CORPORATION #Mac #iTunes #Apps #Apple,Mac|iTunes|Apps|Apple,,http://t.co/hibD5KxkIN
532683709296566272,Wed Nov 12 18:57:47 EST 2014,1415836667000,fincalcaterra,#news #apple #ios One Star Reviews Flood ‘Monument Valley’ Following Paid Expansion Release: Eli... #mac #app #in,news|apple|ios|mac|app|in,,http://t.co/APNdzsGns5
532683700799303680,Wed Nov 12 18:57:45 EST 2014,1415836665000,sorayabn,Apple Expanding Enterprise Efforts  Developing Dedicated Sales Force #Apple #IBM,Apple|IBM,,http://t.co/LHw1zjBVDc
532683675859574784,Wed Nov 12 18:57:39 EST 2014,1415836659000,itpcastrank,Australia 34. Background Briefing - Program podcast - ABC Radio National #Podcast #iTunes #iPhone #Apple,Podcast|iTunes|iPhone|Apple,,http://t.co/liPOnBDRoy
532683666770501632,Wed Nov 12 18:57:37 EST 2014,1415836657000,_TNews,YouTube announces  YouTube Music Key  subscription service for $7.99 a month:  YouTube has announ... #Tech #Apple,Tech|Apple,,http://t.co/0PsJQH5JcO
532683590761324544,Wed Nov 12 18:57:19 EST 2014,1415836639000,itabrank,Australia 5. Yes Please (Unabridged) - Amy Poehler #AudioBooks #iTunes #iPhone #Apple,AudioBooks|iTunes|iPhone|Apple,,http://t.co/ODyzBija3C
532683584381800449,Wed Nov 12 18:57:17 EST 2014,1415836637000,iturank,Japan Courses 45. iOS 5 iPad and iPhone App Development (Fall 2011) - Stanford #iTunesU #iTunes #iPhone #Apple #Mac,iTunesU|iTunes|iPhone|Apple|Mac,,http://t.co/9cDl3hy2u3
532683528048082944,Wed Nov 12 18:57:04 EST 2014,1415836624000,iturank,Australia Collections 87. Programming Paradigms - Jerry Cain #iTunesU #iTunes #iPhone #Apple #Mac,iTunesU|iTunes|iPhone|Apple|Mac,,http://t.co/hnmsyWbQRY
532683491360522240,Wed Nov 12 18:56:55 EST 2014,1415836615000,itmovierank,Australia 15. Attractive Distractions - Unknown #Movies #iTunes #iPhone #Apple,Movies|iTunes|iPhone|Apple,,http://t.co/CC577fTkZR
532683447694016512,Wed Nov 12 18:56:45 EST 2014,1415836605000,thefrontporch2,Set of 4 Apple Canisters Aluminum Metal Apple 19950s VintagePorch via @Etsy #apple #ccsay #rtoe1 #like2 #bizrt #kprs,apple|ccsay|rtoe1|like2|bizrt|kprs,,http://t.co/jjIiCYeIHy
532683421802172417,Wed Nov 12 18:56:39 EST 2014,1415836599000,itpcastrank,Australia 35. ASX Investor Update Podcast - Australian Securities Exchange #Podcast #iTunes #iPhone #Apple,Podcast|iTunes|iPhone|Apple,,http://t.co/fMr2cR4zJY
532683380169519104,Wed Nov 12 18:56:29 EST 2014,1415836589000,mitarank,Japan 48. Midnight Memories (Deluxe Edition) - One Direction #Music #iTunes #iPhone #Apple,Music|iTunes|iPhone|Apple,,http://t.co/1qio0h7E0c
