id,date,idate,user,text,hashtag,photo,url
531231947641872385,Sat Nov 08 18:49:00 EST 2014,1415490540000,Doug_Fraser,Don t miss the Rosetta #CometLanding webcast on the 12th!!!!,CometLanding,,
531231883854479361,Sat Nov 08 18:48:45 EST 2014,1415490525000,masanorimusic,@esa BTW What did you improve/change on the recorded hangout video? Wondering if I should watch again. #CometLanding #???? #???? #????,CometLanding|????|????|????,,
531230552909570048,Sat Nov 08 18:43:28 EST 2014,1415490208000,masanorimusic,GO @Philae2014 !! Like Curiosity said  relax!! And your sandwich will help you! #CometLanding #???? #???? #????  @ESA_Rosetta,CometLanding|????|????|????,,
531224125101338626,Sat Nov 08 18:17:55 EST 2014,1415488675000,slimmercer,shout out CCHS. #proudalmnus #CCHSFootball #giantslayers #H15toryMaking #playoffs #CometLanding #cometpride,proudalmnus|CCHSFootball|giantslayers|H15toryMaking|playoffs|CometLanding|cometpride,,
531221841021763585,Sat Nov 08 18:08:51 EST 2014,1415488131000,miguelgarcia65,Only 4 more sleeps til #cometlanding. @esa_Rosetta @philae2014,cometlanding,,
531210432888176641,Sat Nov 08 17:23:31 EST 2014,1415485411000,LAismylady,#Philae checking to make sure he has everything packed for his #CometLanding  @esa #Rosetta ,Philae|CometLanding|Rosetta,http://pbs.twimg.com/media/B189EVACcAAhC7-.jpg,http://t.co/O5EaW9VfA4
531206448504909824,Sat Nov 08 17:07:41 EST 2014,1415484461000,eldiabolo21,@Philae2014 @ESA_Rosetta Best of luck on your #CometLanding !,CometLanding,,
531204488736944128,Sat Nov 08 16:59:54 EST 2014,1415483994000,JenZomederis,Preparing for #CometLanding  - Countdown 3 days till Philae leaves Rosetta to land on Comet 67P!! via @HarrisonRuess,CometLanding,,http://t.co/Uytvr0jSex
531203994907971584,Sat Nov 08 16:57:56 EST 2014,1415483876000,joelwmparker,Article and video about the @ESA_Rosetta #CometLanding : The excitement and anticipation are intense.  #Rosetta,CometLanding|Rosetta,,http://t.co/Ao8cecF8dK
531201552933855232,Sat Nov 08 16:48:14 EST 2014,1415483294000,GaragePride,Preparing for #CometLanding: via @YouTube,CometLanding,,http://t.co/MYKYL4njY0
531199365495656448,Sat Nov 08 16:39:32 EST 2014,1415482772000,spacemanfellow,#CometLanding #TopTen: No.7 @QueenWillRock  Don t stop me now  @ESA_Rosetta @Philae2014 @DrBrianMay ,CometLanding|TopTen,,http://t.co/GV25w3v4aL
531196718139076609,Sat Nov 08 16:29:01 EST 2014,1415482141000,spacemanfellow,.@ProfBrianCox Hope you ll be following @ESA_Rosetta on 12 Nov! You can watch at This is our  Apollo  #CometLanding,CometLanding,,http://t.co/jy7NNgpVwX
531185599244300290,Sat Nov 08 15:44:50 EST 2014,1415479490000,MrTakoyaki92,Preparing for #CometLanding (French): via @YouTube,CometLanding,,http://t.co/njN5TwxFMl
531184346191777792,Sat Nov 08 15:39:51 EST 2014,1415479191000,josephjordan60,Watch Rosetta #CometLanding webcast on @Livestream: ,CometLanding,,http://t.co/AMfUibTpNl
531183616617746432,Sat Nov 08 15:36:57 EST 2014,1415479017000,Bubblespotting,Watch Rosetta #CometLanding webcast on @livestream: ,CometLanding,,http://t.co/ftM5krsuXF
531176305753358336,Sat Nov 08 15:07:54 EST 2014,1415477274000,psoychak,Preparing for #CometLanding ,CometLanding,,http://t.co/cpeImdat09
531176249591623681,Sat Nov 08 15:07:41 EST 2014,1415477261000,spacemanfellow,#CometLanding #TopTen: No. 8 @PixieLott with  Gravity  (Cahill remix) @ESA_Rosetta @Philae2014 @achrisevans ,CometLanding|TopTen,,http://t.co/siZVrleyyd
531175542850990080,Sat Nov 08 15:04:52 EST 2014,1415477092000,psoychak,I liked a @YouTube video Preparing for #CometLanding,CometLanding,,http://t.co/pDg56AOfqW
531170858363277314,Sat Nov 08 14:46:15 EST 2014,1415475975000,spacemanfellow,#CometLanding #TopTen: No.9 @RealJeffLynne & #ELO  Don t bring me down  @achrisevans @ESA_Rosetta @Philae2014 ,CometLanding|TopTen|ELO,,http://t.co/OQvQbXPdtD
531163601093283842,Sat Nov 08 14:17:25 EST 2014,1415474245000,Wolkenfahnderin,MT @DLR_de: 4 Tage. #CometLanding toller Trailer: 12.11.2014 #Live (FW),CometLanding|Live,,https://t.co/YAYhvbopKi|http://t.co/aDiGHt2cVC
531159522761781248,Sat Nov 08 14:01:13 EST 2014,1415473273000,2013Focusman,The landing site for @ESA_Rosetta  @Philae2014 on 12 Nov has a name: Agilkia! #cometlanding ,cometlanding,,http://t.co/TemzIqJpmf|http://t.co/rJ6rjVsIVP
531157169040031746,Sat Nov 08 13:51:52 EST 2014,1415472712000,Brannigand,@PipTomson Cheer up your dogs by showing them this cool video about a real life Space Adventure #CometLanding: :),CometLanding,,http://t.co/P9JN8uhnY4
531157125410881536,Sat Nov 08 13:51:41 EST 2014,1415472701000,IsaacLLA,Guys  in 3 day we will be watching @ESA_Rosetta landing on a comet. #CometLanding,CometLanding,,http://t.co/Km36CnH6hy
531156335837335552,Sat Nov 08 13:48:33 EST 2014,1415472513000,marckeepwalking,Exact GMT/UTC time for #Rosetta #CometLanding on wednesday? @ESA_Rosetta @esa,Rosetta|CometLanding,,
531155135238778880,Sat Nov 08 13:43:47 EST 2014,1415472227000,ageekmom,Want a more technical video of how the #CometLanding will work? Here you go: from @ESA,CometLanding,,https://t.co/qjeql7gk6I
531153519232180224,Sat Nov 08 13:37:22 EST 2014,1415471842000,I_We_Gaia,@philae2014 @esa_rosetta Can t wait to follow the #CometLanding on Wednesday! You are supercool! :),CometLanding,,
531151705703215104,Sat Nov 08 13:30:09 EST 2014,1415471409000,RegardSurTerre, Missed Friday s #ESAhangout briefing on #cometlanding with @ESA_Rosetta experts? Here the (improved) replay  ,ESAhangout|cometlanding,,https://t.co/lkRYJLMnUb
531151591269605376,Sat Nov 08 13:29:42 EST 2014,1415471382000,cplusclean,Preparing for #CometLanding: via @YouTube,CometLanding,,http://t.co/Bv3QImAaTt
531151320557051904,Sat Nov 08 13:28:37 EST 2014,1415471317000,RegardSurTerre, @Philae2014: I m fully configured with all sequences for #CometLanding on board!! I have never been so ready!! Thumbs up @ESA_Rosetta :) ,CometLanding,,
531149444969168897,Sat Nov 08 13:21:10 EST 2014,1415470870000,Jumo3,“@Philae2014: I m fully configured with all sequences for #CometLanding on board!! I have never been so ready!!@barbaraedonis,CometLanding,,
531146890512183296,Sat Nov 08 13:11:01 EST 2014,1415470261000,theonetruebix,When’s the #CometLanding and won’t the #SolarStorm have DESTROYED US ALL by then?,CometLanding|SolarStorm,,
531146887445762051,Sat Nov 08 13:11:00 EST 2014,1415470260000,ignorantcowboy,Preparing for #CometLanding: this is so cute! I m not crying ;),CometLanding,,http://t.co/lNRGFa3SDi
531146847625424897,Sat Nov 08 13:10:51 EST 2014,1415470251000,Philae2014,I m fully configured with all sequences for #CometLanding on board!! I have never been so ready!! Thumbs up @ESA_Rosetta :),CometLanding,,
531146634332495872,Sat Nov 08 13:10:00 EST 2014,1415470200000,ageekmom,@schierholz I need to show that one to Sara. That s awesome! Hehe  I <3 Earth  indeed. #CometLanding TY for sharing. I d missed it!,CometLanding,,
531145546392936448,Sat Nov 08 13:05:41 EST 2014,1415469941000,social4space,Missed Friday s #ESAhangout briefing on #cometlanding with @ESA_Rosetta experts? Here the (improved) replay  ,ESAhangout|cometlanding,,https://t.co/JmCFbJASrY
531145546275512321,Sat Nov 08 13:05:41 EST 2014,1415469941000,esaoperations,Missed Friday s #ESAhangout briefing on #cometlanding with @ESA_Rosetta experts? Here the (improved) replay  ,ESAhangout|cometlanding,,https://t.co/sUrClIzcx6
531143675611344896,Sat Nov 08 12:58:15 EST 2014,1415469495000,joelwmparker,The @ESA_Rosetta mission is hitting the front pages - excitement ramps up for the landing: #Rosetta #CometLanding,Rosetta|CometLanding,,http://t.co/VXm1Dg3e6I
531143360527224832,Sat Nov 08 12:56:59 EST 2014,1415469419000,naz_gutierrez,“@ObservingSpace: Comet 67P on Nov. 4  2014   #rosetta #comet #67P #cometlanding #esa ,rosetta|comet|67P|cometlanding|esa,http://pbs.twimg.com/media/B17fY9XCUAAnKj3.jpg,http://t.co/ZFHwHiKVHy
531140952019042304,Sat Nov 08 12:47:25 EST 2014,1415468845000,letiziadavoli,WOOOW thank you @ESA @ESA_Rosetta from my son and daughter!!! Preparing for #CometLanding (Italian): via @YouTube,CometLanding,,http://t.co/VINdmPE0sf
531140787405619200,Sat Nov 08 12:46:46 EST 2014,1415468806000,esa,Missed Friday s #ESAhangout briefing on #cometlanding with @ESA_Rosetta experts? Here the (improved) replay  ,ESAhangout|cometlanding,,https://t.co/I2XDLZZFwS
531140048259776513,Sat Nov 08 12:43:50 EST 2014,1415468630000,letiziadavoli,SIMPLY WONDERFUL: Preparing for #CometLanding: via @YouTube,CometLanding,,http://t.co/iAaGG5ThyN
