id,date,idate,user,text,hashtag,photo,url
532321142137032704,Tue Nov 11 18:57:04 EST 2014,1415750224000,AmbuliVictor,SHOULD #MICROSOFT BUILD A HARDWARE? ,MICROSOFT,,http://t.co/6Wyqbe9vw5
532320972129697792,Tue Nov 11 18:56:24 EST 2014,1415750184000,CarynWaller,Good article: Is #Microsoft Mobile Office Going Freemium a Good Move? via @TechnologyGuy #freemium,Microsoft|freemium,,http://t.co/tiEgLBBlfd
532320928839921664,Tue Nov 11 18:56:14 EST 2014,1415750174000,bfbcping, Patch #Windows boxes NOW – unless you want to be owned by a web page or network packet  #security #microsoft ,Windows|security|microsoft,,http://t.co/j8TnIvWO04
532320701097574401,Tue Nov 11 18:55:19 EST 2014,1415750119000,johnmaino,“@mopage19: @johnmaino Hey  @windowsphone. Hook him up! He had it stolen. #windows #microsoft #customerservice” @lumia,windows|microsoft|customerservice,,
532320690481807360,Tue Nov 11 18:55:17 EST 2014,1415750117000,IAMCPCanada,#Microsoft updates its mobile-device management timeline  game plan ,Microsoft,,http://t.co/SbjvBgGQMd
532320649218236416,Tue Nov 11 18:55:07 EST 2014,1415750107000,LinuxForYou,#Microsoft Releases #VMSecurityTool For #Azure ,Microsoft|VMSecurityTool|Azure,,http://t.co/DCxXSyk2Ag
532320632768184320,Tue Nov 11 18:55:03 EST 2014,1415750103000,iPadForums,#Microsoft Bundles #Office365  #XboxLive Gold  #XboxMusic Pass & #Skype for $199/Year ==> #iPadDeals,Microsoft|Office365|XboxLive|XboxMusic|Skype|iPadDeals,,http://t.co/Fp5M5PiKcd
532320126595391491,Tue Nov 11 18:53:02 EST 2014,1415749982000,TomHiscutt,.@msftLync to become  @Skype for Business  in Q1 2015: #rebrand #Lync #Skype #SkypeforBusiness #Microsoft,rebrand|Lync|Skype|SkypeforBusiness|Microsoft,,http://t.co/qCPNTq6hYx
532319676462669825,Tue Nov 11 18:51:15 EST 2014,1415749875000,android_USA,#Microsoft OFFICE 2013 HOME and STUDENT CD Included FULL VERSION - NEW  ,Microsoft,http://pbs.twimg.com/media/B2Mt7MTCUAEzc8_.png,http://t.co/LyuQeJgHK2
532319487236648960,Tue Nov 11 18:50:30 EST 2014,1415749830000,SLujanTwT,Microsoft Security Bulletin MS14-066 - Critical #Microsoft #Windows,Microsoft|Windows,,https://t.co/dnv4J2ay65
532319385621237761,Tue Nov 11 18:50:06 EST 2014,1415749806000,ipadnews,#Microsoft Bundles #Office365  #XboxLive Gold  #XboxMusic Pass & #Skype for $199/Year ==> #iPadDeals,Microsoft|Office365|XboxLive|XboxMusic|Skype|iPadDeals,,http://t.co/SRfsCkKR8h
532319302129422336,Tue Nov 11 18:49:46 EST 2014,1415749786000,APR360Comms,#Microsoft will rebrand #Lync its #enterprise #communications tool #Skype for #Business @TechCrunch #APR360CC #B2B,Microsoft|Lync|enterprise|communications|Skype|Business|APR360CC|B2B,,http://t.co/B9X6PRUOC9
