id,date,idate,user,text,hashtag,photo,url
533770951608258560,Sat Nov 15 18:58:06 EST 2014,1416095886000,theReal10guy,Photo: Lost in the winter wonderland #michigan #snow #hiking #marquette #puremichigan #traveler #wander... ,michigan|snow|hiking|marquette|puremichigan|traveler|wander,,http://t.co/1BzYDHxrLp
533770910629900289,Sat Nov 15 18:57:56 EST 2014,1416095876000,theapexpw,Just a few short minutes away from Open Season at the #DieselConcertLounge on 23 Mile in Chesterfield #Michigan #prowrestling #indywrestling,DieselConcertLounge|Michigan|prowrestling|indywrestling,,
533770653699039232,Sat Nov 15 18:56:55 EST 2014,1416095815000,shalpin,Too tired to eat. Get daughter off to bed then sleepy time me as well. It is a hot water bottle on the toes kind of night :) #Michigan,Michigan,,
533770315965284353,Sat Nov 15 18:55:34 EST 2014,1416095734000,VAPEPENstore,#Vapes for #weed #Cincinnati #Michigan #Detroit #Flint #GrandRapids We accept #Bitcoin ,Vapes|weed|Cincinnati|Michigan|Detroit|Flint|GrandRapids|Bitcoin,http://pbs.twimg.com/media/B0o3vfCIAAAYPQB.jpg,http://t.co/N8sw1cAbpM
533770310030352386,Sat Nov 15 18:55:33 EST 2014,1416095733000,DetroitMichiga,Stephen Weiss just wants to start playing games The Macomb Daily Detroit s Johan Franzen (93)… #Detroit #Michigan,Detroit|Michigan,,http://t.co/XxVpyLLZ3B
533770242305310720,Sat Nov 15 18:55:17 EST 2014,1416095717000,brightondollz,We re gearing up and getting ready to take the track. Join us at 7:30!  #rollerderby #brighton #michigan,rollerderby|brighton|michigan,,http://t.co/rD8rDneGyT
533769958816481280,Sat Nov 15 18:54:09 EST 2014,1416095649000,beingrileykyle,Fluffy hair after the shower :P #selfie #instagrammers #michigan #michigander #bands #beanie #beanies… ,selfie|instagrammers|michigan|michigander|bands|beanie|beanies,,http://t.co/dZQAOuoO45
533769790348079104,Sat Nov 15 18:53:29 EST 2014,1416095609000,Wolvie1966,So  R all the #RichRod fans going to jump ship? #Michigan #goblue,RichRod|Michigan|goblue,,
533769732965806081,Sat Nov 15 18:53:15 EST 2014,1416095595000,buickman62,I hope Brady Hoke watched Wisconsin run wild...#Michigan,Michigan,,
533769250742476800,Sat Nov 15 18:51:20 EST 2014,1416095480000,KenColeman1967,Michiganian or Michigander? Which do you prefer? #Michigan,Michigan,,
533769060375224320,Sat Nov 15 18:50:35 EST 2014,1416095435000,bvb_avery,So...the name of my band is setting our sights... #nobandmembers #Michigan,nobandmembers|Michigan,,
533768985234640897,Sat Nov 15 18:50:17 EST 2014,1416095417000,michiganapt,#Michigan #Tourism Michigan Historical Museum - Lansing ,Michigan|Tourism,http://pbs.twimg.com/media/B2hUED3CQAEURQd.jpg,
533768615305412608,Sat Nov 15 18:48:49 EST 2014,1416095329000,RAHstaGOTemALL,showing my young boy the ropes!!! #OrlandoTakeOver #Michigan ?? #DMV ?? #Orlando  #CNTD #RF8… ,OrlandoTakeOver|Michigan|DMV|Orlando|CNTD|RF8,,http://t.co/mzYPeGaZNh
533768342931509248,Sat Nov 15 18:47:44 EST 2014,1416095264000,RLindz35,My feature on Cass Tech RB  #Michigan commit @mikeweber25 s remarkable performance in the regional title game: ,Michigan,,http://t.co/gLA570Ypad
533767916739911681,Sat Nov 15 18:46:02 EST 2014,1416095162000,djfade,It s official! I ll be DJing in #Michigan on #NewYearsEve! Where  U ask? Deets coming soon... — feeling pumped,Michigan|NewYearsEve,,
533766024286732289,Sat Nov 15 18:38:31 EST 2014,1416094711000,weatherbotman,IG:  Heavenly light shining down on Lake Superior. October 2014. #michigan #upperpeninsula #lakesuperior #film #...,michigan|upperpeninsula|lakesuperior|film,,http://t.co/nmUwObazHl
533765396919500800,Sat Nov 15 18:36:02 EST 2014,1416094562000,myvotefactor,#Michigan Oh  no  it wasn t the airplanes. It was Beauty killed the Beast. ,Michigan,,https://t.co/HLKOJYBa4K
533765331891015681,Sat Nov 15 18:35:46 EST 2014,1416094546000,eBay_Motor_Deal,Available now at low cost Dodge #Flint #Michigan Why wait?  ,Flint|Michigan,,http://t.co/STEPBl8YLB
533764896811266048,Sat Nov 15 18:34:02 EST 2014,1416094442000,DetroitMichiga,GRAND RAPIDS (WWJ/AP) - Five boys have filed a lawsuit against the Grand Rapids school district … #Detroit #Michigan,Detroit|Michigan,,http://t.co/2UJhFBg1C1
533764535220711424,Sat Nov 15 18:32:36 EST 2014,1416094356000,birchrunsports,November 15  2014 at 06:32PM and here is the latest weather for Birch Run Michigan. #birchrun #michigan,birchrun|michigan,,http://t.co/O2I3BFNyag
533764402814943233,Sat Nov 15 18:32:05 EST 2014,1416094325000,steveduncan2013,November 15  2014 at 06:32PM and here is the latest weather for Burt Michigan. #burt #michigan #taymouthtownship,burt|michigan|taymouthtownship,,http://t.co/EiDAD0YySW
