index,id,text,token_number, token,dup,dup_doc
0,531959220108009473,@thejuandomingo lol - well it s obvious the #notredame and #michigan football aren t worth watching  so may as well,9,michigan:1/10257|watch:1/157|notredam:1/15|aren:1/10|lol:1/58|footbal:1/234|thejuandomingo:1/1|obviou:1/1|worth:1/12,0,531959220108009473
1,531959157654835200,caris levert gets the start treatment  introduced last. #michigan in crispy home white jerseys.,10,treatment:1/5|introduc:1/7|white:1/41|michigan:1/10257|crispi:1/1|jersei:1/9|start:1/118|cari:1/15|levert:1/20|home:1/156,0,531959157654835200
2,531959118282883072,starters for #michigan tonight: kameron chatman  mark donnal  derrick walton jr.  zak irvin & caris levert,14,tonight:1/126|donnal:1/13|starter:1/7|michigan:1/10257|zak:1/7|jr:1/31|walton:1/15|chatman:1/7|irvin:1/14|kameron:1/3|derrick:1/10|cari:1/15|levert:1/20|mark:1/30,0,531959118282883072
3,531958981292339200,everyone ready for basketball to start? #exhibition #michigan #ncaab @ crisler center,8,ncaab:1/6|michigan:1/10257|readi:1/77|center:1/41|start:1/118|basketbal:1/66|exhibit:1/28|crisler:1/6,0,531958981292339200
4,531958976649654273,this doesn t have quite the same fever pitch as the last #michigan game i covered ... vs. kentucky in the elite eight.,8,doesn:1/27|cover:1/15|game:1/408|michigan:1/10257|fever:1/2|pitch:1/3|kentucki:1/29|elit:1/11,0,531958976649654273
5,531958863889563648,a little homesick #detroit #westside # mile #southfieldfwy #michigan #hood,7,westsid:1/5|michigan:1/10257|mile:1/18|southfieldfwi:1/1|detroit:1/1366|hood:1/6|homesick:1/2,0,531958863889563648
6,531958861499211777,here we go  #michigan basketball set for an exhibition opener against #waynestate,6,set:1/55|michigan:1/10257|basketbal:1/66|exhibit:1/28|open:1/134|waynest:1/7,0,531958861499211777
7,531958619609530368,national anthem before #michigan exhibition vs. #waynestate.,5,anthem:1/3|nation:1/74|michigan:1/10257|exhibit:1/28|waynest:1/7,0,531958619609530368
8,531958099012501505,what is iot? the internet of things! #iot #hitech #tech #michigan @mobilemondaydet via @mobli,9,tech:1/34|hitech:1/1|michigan:1/10257|mobilemondaydet:1/1|thing:1/69|internet:1/3|mobli:1/6|iot:2/2,0,531958099012501505
9,531957970158907392,#epicfail legislators block low-cost eye exams in #michigan @migop @michigandems #fb,11,exam:1/5|epicfail:1/1|cost:1/22|ey:1/21|low:1/36|michigan:1/10257|block:1/19|michigandem:1/2|fb:1/15|migop:1/7|legisl:1/11,0,531957970158907392
10,531957790273966080,at the #michigan basketball game with my son. #goblue #lovingit,6,game:1/408|son:1/14|lovingit:1/1|michigan:1/10257|basketbal:1/66|goblu:1/319,0,531957790273966080
11,531957762071482369,staying fit in cooler weather    #michigan,5,fit:1/37|michigan:1/10257|cooler:1/2|weather:1/198|stai:1/32,6,531957762071482369|532229517935661056|532410724401033216|530749770701488128|530568564198346754|531534923220664320|531308456759005184
12,531957048062521344,get your holiday shopping done early! purchase the ?stargazer  gift set from pandora for $ . #okemos #msu #michigan,11,gift:1/47|purchas:1/9|shop:1/46|set:1/55|stargaz:1/4|okemo:1/8|michigan:1/10257|pandora:1/9|holidai:1/33|earli:1/38|msu:1/64,0,531957048062521344
13,531956457076715520,if you re scoring at home  #waynestate starters vs. #michigan are toma  moore  lewis  bishop and ndondo.,10,score:1/109|starter:1/7|michigan:1/10257|bishop:1/1|moor:1/2|toma:1/1|lewi:1/2|ndondo:1/1|home:1/156|waynest:1/7,0,531956457076715520
14,531956338512105472,story of my life. ???#dayoop #  #cold #snow #michigan # ftofsnow #freezing #cuddleweather,9,dayoop:1/1|michigan:1/10257|cuddleweath:1/1|snow:1/653|cold:1/147|freez:1/23|life:1/58|stori:1/61|ftofsnow:1/1,0,531956338512105472
15,531956018138603520,&& may the sun bring you all new energy by day . #skyporn #michigan #mitten #sunset #sun,9,michigan:1/10257|sunset:1/66|bring:1/50|mitten:1/21|skyporn:1/4|sun:2/28|dai:1/300|energi:1/28,0,531956018138603520
16,531955986320613376,@wxyzdetroit: doctor with michigan ties is cleared of ebola in new york city what about the   ppl in #michigan ?,10,doctor:1/9|michigan:2/10257|ti:1/10|citi:1/108|york:1/8|clear:1/5|ebola:1/7|wxyzdetroit:1/3|ppl:1/5,0,531955986320613376
