id,date,idate,user,text,hashtag,photo,url
534383482173403136,Mon Nov 17 11:32:05 EST 2014,1416241925000,mikedugganuk,Here’s What #Microsoft CEO Satya Nadella Thinks #Apple And #Google Do Best  ,Microsoft|Apple|Google,,http://t.co/OCMzHkR8Qu
534383376485335040,Mon Nov 17 11:31:39 EST 2014,1416241899000,RagavObject,Lets know about the new features of #visualstudio2014 by #microsoft - on #cloudzoo,visualstudio2014|microsoft|cloudzoo,,http://t.co/5nIQespTRR
534383040097550336,Mon Nov 17 11:30:19 EST 2014,1416241819000,RevResponse,(Secret!) Free eBook (Live 11/18)  Inside Windows 8.1  #Microsoft #HotOffers #ExceedYourLeads ,Microsoft|HotOffers|ExceedYourLeads,http://pbs.twimg.com/media/B2pzYRfCQAAK8OA.png,http://t.co/DnB8HEKaFj
534383036255584256,Mon Nov 17 11:30:18 EST 2014,1416241818000,CHertkorn,Microsoft patches 19-year-old Windows bug - CNET - #microsoft #bug,microsoft|bug,,http://t.co/aqQCsY9OKJ
534383003951038464,Mon Nov 17 11:30:11 EST 2014,1416241811000,pnsolutionsltd,After July 14 2015 #Microsoft will no longer provide automatic fixes  updates or online technical support for #winsvr2003 #BePrepared,Microsoft|winsvr2003|BePrepared,,
534382781774589952,Mon Nov 17 11:29:18 EST 2014,1416241758000,manuLrios,@Facebook said to plan site to rival #Microsoft Office via @usatoday ,Microsoft,http://pbs.twimg.com/media/B2qCSpvCQAA1y-b.jpg,http://t.co/BXwmuvTHjZ
534382729110908930,Mon Nov 17 11:29:05 EST 2014,1416241745000,EditorPatentEd,#Microsoft Launches New Holiday Ad Comparing Surface Pro 3 to #MacBook Air ,Microsoft|MacBook,,http://t.co/ygmQ0wJyoF
534382706134499328,Mon Nov 17 11:29:00 EST 2014,1416241740000,pcgeek86,About to see @markrussinovich speak on #Azure again. :) #Microsoft,Azure|Microsoft,,
534382690750169088,Mon Nov 17 11:28:56 EST 2014,1416241736000,touchezUK,#Microsoft #smartwatch #wearables #wearabletech will work with non #windows  ,Microsoft|smartwatch|wearables|wearabletech|windows,,https://t.co/Hj7n0t6aNs
534382511980179456,Mon Nov 17 11:28:13 EST 2014,1416241693000,babaeizadeh,#Microsoft should fire the whole #Surface marketing team. wtf is this? ,Microsoft|Surface,,https://t.co/faYkl26eFt
